Date,BTC_Price,BTC_Open,BTC_High,BTC_Low,BTC_Vol.,Change %,DowJones_Price,Nasdaq_Price,S&P_Price,Gold_Price,BrentOil_Price,Weighted_Average_Sentiment,Most_Influential_Sentiment,Majority_Sentiment
2019-08-31,"9,623.9","9,600.7","9,710.2","9,472.1",2.75K,0.24%,,,,,,-0.07596021784203393,Negative,Negative
2019-09-01,"9,779.1","9,623.9","9,858.0","9,560.1",2.87K,1.61%,,,,,,-0.07718486090501149,Positive,Negative
2019-09-02,"10,388.0","9,783.0","10,473.0","9,754.9",11.14K,6.23%,,,,1533.2,58.55,-0.1719787968056543,Negative,Negative
2019-09-03,"10,641.0","10,401.0","10,766.0","10,300.0",10.74K,2.44%,"26,118.02","7,874.16","2,906.30",1555.9,57.93,-0.04154114184841033,Negative,Negative
2019-09-04,"10,590.0","10,642.0","10,841.2","10,411.0",6.25K,-0.48%,"26,355.47","7,976.88","2,937.80",1560.4,60.68,-0.09635738987061712,Positive,Negative
2019-09-05,"10,578.7","10,593.0","10,663.0","10,483.0",3.01K,-0.11%,"26,728.15","8,116.83","2,976.00",1525.5,62.7,0.02831638710839408,Negative,Positive
2019-09-06,"10,317.0","10,582.9","10,933.0","10,218.0",11.28K,-2.47%,"26,797.46","8,103.07","2,978.70",1521.7,61.28,-0.03202997772924362,Negative,Positive
2019-09-07,"10,488.0","10,305.0","10,581.0","10,305.0",3.38K,1.66%,,,,,,0.175497078233295,Positive,Positive
2019-09-08,"10,415.0","10,489.0","10,599.0","10,257.0",3.51K,-0.70%,,,,,,0.232807790239652,Positive,Positive
2019-09-09,"10,318.0","10,417.0","10,542.0","10,118.6",5.20K,-0.93%,"26,835.51","8,087.44","2,978.40",1511.1,63.99,-0.004124277719744929,Positive,Positive
2019-09-10,"10,122.0","10,317.0","10,399.0","9,961.7",4.21K,-1.90%,"26,909.43","8,084.15","2,979.40",1499.2,64.67,-0.01627706105892475,Negative,Negative
2019-09-11,"10,175.0","10,121.0","10,297.0","9,866.5",4.35K,0.52%,"27,137.04","8,169.68","3,000.90",1503.2,63.02,0.007660614119635688,Negative,Positive
2019-09-12,"10,452.0","10,174.2","10,488.0","10,065.1",4.40K,2.72%,"27,182.45","8,194.47","3,009.60",1507.4,60.76,-0.06118045796950658,Positive,Negative
2019-09-13,"10,374.0","10,452.0","10,475.0","10,170.0",4.50K,-0.75%,"27,219.52","8,176.71","3,007.40",1511.7,61.25,-0.1419600623625296,Negative,Negative
