Date,BTC_Price,BTC_Open,BTC_High,BTC_Low,BTC_Vol.,Change %,DowJones_Price,Nasdaq_Price,S&P_Price,Gold_Price,BrentOil_Price,Weighted_Average_Sentiment,Most_Influential_Sentiment,Majority_Sentiment
2021-06-02,37590.0,36672.6,38053.0,36192.3,3970.0,0.025,34600.38,13756.33,4208.1,1909.9,70.6,0.03413868455156203,Positive,Positive
2021-06-03,39209.0,37590.0,39209.0,37371.0,5750.0,0.0431,34577.04,13614.51,4192.9,1873.3,70.71,-0.06182089231230996,Positive,Negative
2021-06-04,36854.0,39209.0,39209.0,36532.0,5930.0,-0.0601,34756.39,13814.49,4229.9,1893.8,71.3,-0.0477282882344966,Negative,Negative
2021-06-05,35543.0,36844.0,37690.3,35296.0,6590.0,-0.0356,34756.39,13814.49,4229.9,1893.8,71.3,-0.02817103578600772,Negative,Positive
2021-06-06,35782.0,35543.0,36238.0,35496.0,6510.0,0.0067,34756.39,13814.49,4229.9,1893.8,71.3,-0.02636941624622719,Positive,Positive
2021-06-07,33596.0,35782.0,36613.3,33596.0,9970.0,-0.0611,34630.24,13881.72,4226.5,1898.8,70.89,-0.1353307078282038,Positive,Negative
2021-06-08,33415.0,33596.0,33744.8,31547.6,12920.0,-0.0054,34599.82,13924.91,4227.3,1894.4,71.39,-0.10047276293238,Positive,Negative
2021-06-09,37347.0,33415.0,37490.0,32673.0,26970.0,0.1177,34447.14,13911.75,4219.6,1895.5,71.31,-0.04760029931601725,Negative,Negative
2021-06-10,36649.2,37347.0,37933.0,36559.0,9570.0,-0.0187,34466.24,14020.33,4239.2,1896.4,71.65,-0.1371504150587937,Negative,Negative
2021-06-11,37338.0,36649.2,37427.0,36342.0,6420.0,0.018799999999999997,34479.6,14069.42,4247.4,1885.5,72.05,-0.02782251352959491,Negative,Positive
2021-06-12,35531.0,37338.0,37338.0,35185.0,7380.0,-0.0484,34479.6,14069.42,4247.4,1885.5,72.05,-0.04902751743793488,Negative,Negative
2021-06-13,39004.0,35531.0,39021.1,34984.0,8990.0,0.0977,34479.6,14069.42,4247.4,1885.5,72.05,-0.04070603980549744,Positive,Negative
2021-06-14,40500.0,39004.0,40732.0,38812.0,9730.0,0.0384,34393.75,14174.14,4255.1,1865.9,72.27,0.008310524385366867,Positive,Negative
2021-06-15,40139.0,40509.0,40708.8,39726.0,7780.0,-0.0089,34299.33,14072.86,4246.6,1856.4,73.38,-0.05735365743354216,Positive,Negative
2021-06-16,38332.0,40139.0,40394.0,38332.0,6790.0,-0.045,34033.67,14039.68,4223.7,1861.4,73.88,-0.03301453773389783,Positive,Negative
2021-06-17,38061.0,38332.0,39324.0,37733.7,3540.0,-0.0070999999999999995,33823.45,14161.35,4221.9,1774.8,72.92,-0.1108721596629996,Negative,Negative
2021-06-18,35802.0,38061.0,38061.0,35490.0,11420.0,-0.0594,33290.08,14030.38,4166.4,1770.9,73.1,-0.003116113895719702,Negative,Positive
2021-06-19,35585.8,35802.0,36236.0,35460.0,11570.0,-0.006,33290.08,14030.38,4166.4,1770.9,73.1,-0.008583408026468186,Negative,Positive
2021-06-20,35631.0,35585.8,35966.0,33725.0,16930.0,0.0013,33290.08,14030.38,4166.4,1770.9,73.1,0.02499297190280188,Positive,Positive
2021-06-21,31761.0,35631.0,35631.0,31475.0,23450.0,-0.10859999999999999,33876.97,14141.48,4224.8,1782.9,74.49,-0.1995749128037605,Positive,Negative
2021-06-22,32553.0,31761.0,33300.0,29927.0,26870.0,0.024900000000000002,33945.58,14253.27,4246.4,1777.4,74.92,-0.127326523915666,Negative,Negative
2021-06-23,33703.0,32553.0,34196.0,32553.0,9140.0,0.0353,33874.24,14271.73,4241.8,1783.4,75.22,-0.1366588594821783,Negative,Negative
2021-06-24,34656.6,33703.0,35137.2,32530.0,4860.0,0.028300000000000002,34196.82,14369.71,4266.5,1776.7,75.95,0.01157068571106332,Negative,Positive
2021-06-25,31584.0,34656.6,34915.0,31584.0,37670.0,-0.08869999999999999,34433.84,14360.39,4280.7,1777.0,76.45,-0.1529050419727961,Negative,Negative
2021-06-26,32359.0,31584.7,32359.0,30331.0,20530.0,0.0245,34433.84,14360.39,4280.7,1777.0,76.45,-0.05096659898757935,Positive,Negative
2021-06-27,34717.0,32359.0,34717.0,32359.0,28710.0,0.0729,34433.84,14360.39,4280.7,1777.0,76.45,-0.08075636980079469,Positive,Negative
2021-06-28,34484.0,34717.0,35168.0,34152.0,6180.0,-0.0067,34283.27,14500.51,4290.6,1780.7,74.78,-0.001441305333917791,Positive,Positive
2021-06-29,35895.9,34484.0,36411.0,34316.7,5510.0,0.0409,34292.29,14528.33,4291.8,1763.6,75.38,0.007120489184536151,Negative,Positive
